Key,Description,Translation
exit-door,выход на двери помещения,Выход
exit-menu,выход из меню,Выйти
ticket-buy-button,кнопка покупки билета,Получить билет
ticket-bought,"сообщение о том, что билет куплен",Билет куплен
cancel-button,кнопка отмены,Отменить
confirm-button,Кнопка подтверждения действия,Подтвердить
system-bundle-version,Версия сборки приложения,Версия Bundle:
apartments-menu,Меню помещений,Помещения
apartment-common-button,Пункт меню Общие помещения,Общие
apartment-personal-button,Пункт меню Мои помещения,Мои
invoices-button,Пункт меню Приглашения,Приглашения
system-company,Название компании,Компания:
enter-button,Пункт меню авторизации,Вход
login-exit-button,Кнопка выхода из аккаунта,Выйти
greetings-message,Сообщение приветствия пользователя,"Добро пожаловать,"
language-button,Кнопка указания языка,Язык
login-password-placeholder,Подсказка поля ввода пароля,Введите пароль
login-placeholder,Подсказка поля ввода логина,Введите логин
loginoremail-placeholder,Подсказка поля ввода логина или почты,Введите логин или email
system-product,Название приложения,Программа:
user-profile,Имя профиля пользователя,Имя:
language-english,Кнопка выбора английского языка,English
language-russian,Кнопка выбора русского языка,Русский
password-reset-button,Кнопка восстановления пароля,Восстановление пароля
registration-button,Кнопка регистрации в системе,Регистрация
login-enter-button,Кнопка входа в аккаунт,Войти
connect-button,Кнопка переподключения,Подключиться
connection-problem-message,Сообщение о проблеме подключения,"Обнаружена проблема с подключением.
Проверьте свое соединение с интернетом и попробуйте снова"
authorization-menu,Меню авторизации,Авторизация
profile-menu,Меню настроек профиля пользователя,Профиль
avatar-button,Пункт меню выбора аватара,Аватар
user-button,Пункт меню пользователя,Пользователь
version-button,Пункт меню версии,Версия
system-version,Версия программы,Версия:
apartment-availability,Уровень доступа помещения,Доступность помещения:
apartment-change-image,Заменить изображение на двери,Заменить изображение:
apartment-personal-list,Список моих помещений,Мои помещения:
wallet-balance,Баланс средств на кошельке,На Вашем счету:
apartment-personal-images,Список изображений в личном помещении,Мои изображения:
move-back-button,Кнопка Назад,Назад
personal-items-list,Список личных предметов,Мои предметы
personal-items-collect-button,Кнопка сбора всех личных предметов,Собрать все объекты
personal-items-wine-button,Кнопка генерации предмета Вино,Вино
personal-items-hookah-button,Кнопка генерации предмета Кальян,Кальян
personal-items-camera-button,Кнопка генерации предмета Камера,Камера
personal-items-twrcoin-button,Кнопка генерации предмета TWR,Монета TWR
personal-items-pad-button,Кнопка генерации предмета Планшет,Планшет
personal-items-mirror-button,Кнопка генерации предмета Зеркало,Зеркало
visitors-karma,Значение кармы посетителя,Карма
visitors-location,Местонахождение посетителя,Локация
visitors-status,Статус локации,Статус
visitors-name,Имя посетителя,Имя
visitors-users,Пользователи в помещении,Пользователи
visitors-owner,Владелец помещения,Владелец
zone-monitor-connection-error,Ошибка соединения на мониторе холла,Ошибка соединения с сервером
visitors-panel,Панель Посетители,Посетители
statistics-panel,Панель Статистика,Статистика
events-panel,Панель События,События
locations-panel,Панель Локации,Локации
total-users-count,Общее количество пользователей,Всего пользователей: {0}
found-users-count,Количество найденных пользователей,Найдено пользователей: {0}
delete-button,Кнопка удаления,Удалить
blackboard-delete-confirm-message,Подтверждение удаления доски,"Вы уверены, что хотите удалить всё содержимое доски без сохранения?"
yes-button,Кнопка Да,Да
no-button,Кнопка Нет,Нет
blackboard-saved-message,Сообщение о сохранении доски,Доска сохранена в памяти устройства: {0}
loading-message,Сообщение о загрузке,Загрузка...
apartments-lobby,Помещение Лобби,Лобби
apartments-lecture-hall,Помещение Лекторий,Лекторий
apartments-meeting-room,Помещение Переговорная,Переговорная
apartments-standup,Помещение Стендап,Стендап
apartments-cinema,Помещение Кинотеатр,Кинотеатр
apartments-showroom,Помещение Магазин,Магазин
apartments-gallery,Помещение Галерея,Галерея
robot-hello-message,Приветствие робота,Здравствуйте! Проводить Вас до входа на конференцию Meta Sense?
robot-escort-message,Робот сопровождает к двери помещения,Нажимайте джойстик вперед чтобы следовать за мной
robot-destination-reached-message,Робот достиг двери помещения,Это вход на Meta Sense конференцию. Наведите указатель на дверь и нажмите джойстик вперед
access-type-public,Уровень доступа Публичный,Всем и всегда
access-type-live,Уровень доступа При наличии владельца,"Всем, когда я внутри"
access-type-private,Уровень доступа Приватный,Только мне
apartment-image-label-door,Текст при отсутствующей картинки двери,дверь помещения
apartment-image-label-wall,Текст при отсутствующей картинки на стене,место на стене
access-message-opened,Помещение открыто,Открыто
access-message-closed,Помещение закрыто,Закрыто
access-message-owner-inside,Владелец помещения находится внутри,Владелец внутри
access-message-owner-absent,Владелец помещения отсутствует,Владелец отсутствует
event-entrance-by-tickets,Режим доступа на мероприятие,Вход: по билетам
event-entrance-free,Режим доступа на мероприятие,Вход: свободный
event-tickets-available-count,Доступное количество билетов,доступно {0} из {1}
event-not-started-message,"Сообщение, что мероприятие не началось",Мероприятие ещё не началось
event-access-admin,Сообщение о возможности входа на мероприятие,"Вы администратор пространства, можете войти."
event-access-user-with-ticket,Сообщение о возможности входа на мероприятие,"У вас есть билет, можете войти."
event-access-user-without-ticket,Сообщение о возможности входа на мероприятие,У вас нет билета.
event-access-buy-question,"Вопрос, хочет ли пользователь приобрести билет",Получить?
day-today,,Сегодня
returning-start-scene-message,,Возврат на начальную сцену.
error-message-scene-default,,Вы возвращаетесь на стартовую сцену.
error-message-network-default,,Сбой соединения.
error-message-owner-absence,,Нахождение в помещении без владельца ограничено.
error-message-private-space,,Нахождение на сцене ограничено владельцем.
error-message-event-no-ticket,,У вас нет билета на событие. Зайдите позже.
error-message-double-client,,Отключение. Одновременный вход нескольких пользователей под одной учётной записью.
error-message-wrong-token,,"Произошла ошибка авторизации, пользователь с такими данными не найден. Проверьте данные аккаунта или обратитесь к администратору"
error-message-not-authorized,,Пользователь не авторизован.
error-message-event-private,,Здесь проводится закрытое мероприятие. Приобретите билет.
error-message-old-app-version,,"Ваша версия устарела!
Обновитесь до версии bundle: {0}"
error-message-authorization-failed,,Не удалось авторизоваться
enter-password-message-wrong,,Пароль не верный
password-recovery,Стартовое меню восстановление пароля,Восстановите пароль через личный кабинет на сайте: https://sensetower.io/
enter-password-message-correct,,Пароль верный
zone-expanding-message,,Изменение размера сцены
loading-scene-message,,"Загрузка сцены {0}...<br> Пожалуйста, подождите"
zone-menu-participants,,Участники
zone-menu-size,,Размер
zone-size-meeting-small,,Малая переговорная
zone-size-meeting-big,,Большая переговорная
zone-menu-mute,меню зоны левая панель,Без звука
zone-menu-lock,меню зоны левая панель,Заблокировать
admin-label,меню зоны префаб пользователя,админ
me-label,меню зоны префаб пользователя,я
zone-name,меню зоны левая панель,Название зоны
zone-visitors,меню зоны правая панель,Участники зоны
main-browser-translation-in-progress,Надпись Идет трансляция,Идёт трансляция
watch-button,Кнопка вводного меню,Часы
system-ContourType-version,тип контура,Тип контура:
shopzone-buy-zone,название зоны покупки,Зона покупки
shopzone-sell-zone,название зонны продажи,Зона продажи
shopzone-put-your-object,команда положить свой товар,"поставьте товар на стенд, чтобы продать его"
shopzone-put-shop-object,команда положить объект магазина,поставьте товар на стенд для покупки
shopzone-put,слово товар,поместите
shopzone-buy-stand,цена покупки,на стенд для покупки
shopzone-take-to-sell,цена продажи,"возьмите монету со стенда, чтобы продать товар за"
watch-warning,нельзя выбрать часы,"Обратите внимание, что у выбранного Вами аватара отображение наручных часов невозможно"
apartment-visitors,Список посетителей помещения пользователя,Посетители:
apartment-admins,Список админов помещения пользователя,Администраторы:
apartment-blacklist,Список заблокированных пользователей помещения,Черный список:
login-guestenter-button,Кнопка входа в аккаунт,Войти как гость
registration-ten-minutes,Уведомление после 10 минут гостевого пребыванния,"Вы пробыли в качестве гостя в приложении 10 минут и заработали 10 TWR. Чтобы сохранить Ваши накопления, советуем Вам зарегистрироваться в приложении"
login-email-placeholder,Подсказка поля ввода email,Введите email
login-password-confirmation-placeholder,Подсказка поля ввода повторного пароля,Подтвердите пароль
guest-info-text,Подсказка на вводной сцене для гостя,"Войдя как гость Вы можете не регистрироваться, вводя электронную почту и пароль. При входе в статусе гостя Вы получите ускоренное накопление внутренней валюты, но при этом у Вас будет выставлен предел накопления внутренней валюты (50 TWR), Вы не сможете передавать внутреннюю валюту другим пользователям, изменять своего аватара или выбрать имя для своего аккаунта. Все эти функции доступны только в случае регистрации в приложении"
guest-logout-warning,Текст модального окна при выходе гостя из аккаунта,Вы действительно хотите выйти из гостевого аккаунта?<br>Это приведёт к потере накопленных Вами TWR.
guest-quit-warning,Текст модального окна при выходе гостя из приложения,Вы действительно хотите выйти из приложения?<br>Возможна потеря аккаунта с накопленными Вами TWR.
quit-app-button,Кнопка выхода из приложения,Выйти
recommendation-register-info-text,Текст гостю для регистрации,"Для того, чтобы получить роль резидента приложения и дополнительные возможности в приложении советуем Вам пройти регистрацию."
repeat-password-button,Кнопка повторите пароль,Повторите пароль
enter-email-button,Кнопка введите email,Введите email
empty-input-field-error,Ошибка пустых полей,Не все поля заполнены
password-no-equals-error,Ошибка пустых полей,Пароли не совпадают
notifiaction-ready-to-restart,Уведомление о перезагрузке сцены,Данные отправлены. Сейчас будет перезагружено пространство
notification-authorisation-error,Уведомление об ошибке авторизации,"Произошла ошибка авторизации, обратитесь к администратору"
notification-successfull-registration,Уведомление об успешной регистрации,Поздравляем! Вы зарегистрированный пользователь
50twr-end-maining-text,Уведомление об окончании майнинг после 50 TW,Вы пробыли в качестве гостя в приложении 50 минут и заработали 50 TWR. В качестве гостя вы более не можете получать TWR. Для сохранения уже полученных TWR и возможности получать новые советуем Вам зарегистрироваться в приложении
twr-earned-guest,Текущее число ТВР заработанных гостем,За время пребывания в приложении Вы заработали {0} TWR. Для сохранения уже полученных TWR и возможности получать новые советуем Вам зарегистрироваться в приложении
apartment-no-admins,Сообщение при пустом списке админов пространства,Вы еще не назначили этому пространству администраторов
input-username-placeholder,Плейсхолдер в поле ввода имени пользователя,Введите логин пользователя
button-add,Кнопка Добавить,Добавить
apartment-no-blacklist,Сообщение при пустом черном списке пространства,Вы еще не внесли никого в черный список
empty-name-error,Вы не ввели имя,Вы не ввели имя
fail-name,Заполните корректно поле имени,Заполните корректно поле имени
email-fail,Вы не ввели email,Вы не ввели email
phone-number-fail,Вы ввели некорректный номер телефона,Вы ввели некорректный номер телефона
fail-server-connect,"Ошибка связи, попробуйте отправить заявку позже","Ошибка связи, попробуйте отправить заявку позже"
manager-call-soon,Ваша заявка отправлена менеджеру и в ближайшее время он с Вами свяжется,Ваша заявка отправлена менеджеру и в ближайшее время он с Вами свяжется
close-button,Закрыть,Закрыть
red-required-fields,Поля обязательные для заполнения,"<color=""red"">*</color>Поля обязательные для заполнения"
red-enter-email,Введите email,"Введите email<color=""red"">*"
red-enter-name,Введите имя,"Введите имя<color=""red"">*"
enter-phone-number,Введите номер телефона,Введите номер телефона
enter-comments,Введите комментарий,Введите комментарий
fill-all-input-field,Заполните свои данные в форме заявки,Заполните свои данные в форме заявки и наш менеджер свяжется с Вами и расскажет как можно получить себе помещение в собственность
send-request,Отправить заявку,Отправить заявку
want-space,Хочу помещение,ХОЧУ ПОМЕЩЕНИЕ
red-enter-phone-number,Введите номер телефона,"Введите номер телефона<color=""red"">*</color>"
tips-default-message,Дефолтный текст панели подсказок,Наведите луч из правой руки на любой интерактивный объект и в этом окне появится краткая подсказка о том как он работает
cursor-tips-default-message,Дефолтный текст панели подсказок для windows пользователей,Укажите курсором на любой интерактивный объект и в этом окне появится краткая подсказка о том как он работает
wallet-transactions-tab,Вкладка Транзакции,Транзакции
wallet-purchases-tab,Вкладка Покупки,Покупки
wallet-transactions-buy-sell-tab,Вкладка в панели транзакций,Покупка/продажа
wallet-transactions-transfer-tab,Вкладка в панели транзакций,Переводы
wallet-transactions-mining-burning-tab,Вкладка в панели транзакций,Майнинг/сгорание
wallet-transactions-space-entry-tab,Вкладка в панели транзакций,Вход в пространства
friends-list,Панель меню Мои друзья,Мои друзья
